 kod_knihy,nazev,autor,Kategorie, obor_zanr,umisteni,signatura,zpusob_ziskani,mautritni,pujčena
109,Lidské tělo,,odborná,biologie,inventář,Žk177,koupená,ne,ne
110,Tajemství přírody,,odborná,biologie,inventář,Žk178,koupená,ne,ne
231,Život v přírodě – Deštný prales,,odborná,biologie,inventář,Žk333,koupená,ne,ne
368,Život v přírodě – Deštný prales,,odborná,biologie,inventář,Žk489,koupená,ne,ne
369,Život v přírodě - Hory,,odborná,biologie,inventář,Žk490,koupená,ne,ne
370,Život v přírodě – Moře a oceány,,odborná,biologie,inventář,Žk491,koupená,ne,ne
371,Život v přírodě - Savany,,odborná,biologie,inventář,Žk492,koupená,ne,ne
372,Život v přírodě - Řeky,,odborná,biologie,inventář,Žk493,koupená,ne,ne
440,Svět zvířat I – Savci (1),,odborná,biologie,inventář,Žk570,koupená,ne,ne
441,Svět zvířat II – Savci (2),,odborná,biologie,inventář,Žk571,koupená,ne,ne
726,Svět zvířat III – Savci (3),,odborná,biologie,inventář,Žk876,koupená,ne,ne
442,Svět zvířat IV – Ptáci (1),,odborná,biologie,inventář,Žk572,koupená,ne,ne
443,Svět zvířat V – Ptáci (2),,odborná,biologie,inventář,Žk573,koupená,ne,ne
727,Svět zvířat VI – Ptáci (3),,odborná,biologie,inventář,Žk877,koupená,ne,ne
744,"Svět zvířat VII – Obojživelníci, plazi",,odborná,biologie,inventář,Žk894,koupená,ne,ne
444,Svět zvířat VIII – Ryby (1),,odborná,biologie,inventář,Žk574,koupená,ne,ne
728,Svět zvířat IX – Ryby (2),,odborná,biologie,inventář,Žk878,koupená,ne,ne
745,Svět zvířat X- Bezobratlí (1),,odborná,biologie,inventář,Žk895,koupená,ne,ne
746,"Svět zvířat XI – Bezobratlí (2), Hmyz",,odborná,biologie,inventář,Žk896,koupená,ne,ne
747,Svět zvířat XII – Domácí zvířata,,odborná,biologie,inventář,Žk897,koupená,ne,ne
504,Houby,,odborná,biologie,inventář,Žk637,koupená,ne,ne
505,Chov domácích mazlíčků,,odborná,biologie,inventář,Žk638,koupená,ne,ne
506,Rodinná encyklopedie medicíny,,odborná,biologie,inventář,Žk640,koupená,ne,ne
601,Zvíře,,odborná,biologie,inventář,Žk743,koupená,ne,ne
613,Genetika pro gymnázia,,odborná,biologie,inventář,Žk756,koupená,ne,ne
614,Biologie člověka pro gymnázia,,odborná,biologie,inventář,Žk757,koupená,ne,ne
,Biologie rostlin pro gymnázia,,odborná,biologie,inventář,Žk755,koupená,ne,ne
628,Ekologie pro gymnázia,,odborná,biologie,inventář,Žk771,koupená,ne,ne
629,Obecná biologie pro gymnázia,,odborná,biologie,inventář,Žk772,koupená,ne,ne
617,Biologie a fyziologie člověka,,odborná,biologie,inventář,Žk760,koupená,ne,ne
641,Zoologie,,odborná,biologie,inventář,Žk784,koupená,ne,ne
914,Fauna,,odborná,biologie,dar,,koupená,ne,ne
932,Velká kniha o psech,"Tylor, David",odborná,biologie,KPGO,KP99/10,koupená,ne,ne
376,Malá encyklopedie moderní ekonomie,,odborná,ekonomie,inventář,Žk497,koupená,ne,ne
809,Operační výzkum,"Jablonský, Josef",odborná,ekonomie,inventář,Žk961,koupená,ne,ne
946,"Všeobecná encyklopedie Diderot 1, A-B",,odborná,encyklopedie,KPGO,KP99/28,koupená,ne,ne
947,"Všeobecná encyklopedie Diderot 2, C-F",,odborná,encyklopedie,KPGO,KP99/29,koupená,ne,ne
948,"Všeobecná encyklopedie Diderot 3, G-J",,odborná,encyklopedie,KPGO,KP99/30,koupená,ne,ne
949,"Všeobecná encyklopedie Diderot 4, K-L",,odborná,encyklopedie,KPGO,KP99/31,koupená,ne,ne
950,"Všeobecná encyklopedie Diderot 5, M-O",,odborná,encyklopedie,KPGO,KP99/32,koupená,ne,ne
951,"Všeobecná encyklopedie Diderot 6, P-R",,odborná,encyklopedie,KPGO,KP99/33,koupená,ne,ne
952,"Všeobecná encyklopedie Diderot 7, Ř-Š",,odborná,encyklopedie,KPGO,KP99/34,koupená,ne,ne
953,Všeobecná encyklopedie Diderot 8 T-Ž,,odborná,encyklopedie,KPGO,KP99/35,koupená,ne,ne
102,Tao fyziky,"Capra, Fritjof",odborná,filozofie,inventář,Žk168,koupená,ne,ne
103,Malé dějiny filozofie,"Storig, Hans Joachim",odborná,filozofie,inventář,Žk169,koupená,ne,ne
520,Indická filozofie,"Bondy, Egon",odborná,filozofie,inventář,Žk656,koupená,ne,ne
766,Snadno a rychle filozofem,,odborná,filozofie,inventář,Žk917,koupená,ne,ne
771,Svět jako vůle a představa,"Schopenhauer, Artur",odborná,filozofie,inventář,Žk923,koupená,ne,ne
763,Vyfoťte si Petru aneb Máme doma digitál,,odborná,fotografie,inventář,Žk914,koupená,ne,ne
104,Stručná historie času,"Hawking, Stephen",odborná,fyzika,inventář,Žk170,koupená,ne,ne
214,Černé díry a budoucnost vesmíru,"Hawking, Stephen",odborná,fyzika,inventář,Žk314,koupená,ne,ne
615,Černé díry a budoucnost vesmíru,"Hawking, Stephen",odborná,fyzika,inventář,Žk758,koupená,ne,ne
509,Fyzika – ilustrovaná encyklopedie,,odborná,fyzika,nezařazeno,,koupená,ne,ne
560,Fyzika - Mechanika,"Halliday, David",odborná,fyzika,inventář,Žk699,koupená,ne,ne
561,"Fyzika – Mechanika, termodynamika","Halliday, David",odborná,fyzika,inventář,Žk700,koupená,ne,ne
562,Fyzika – Elektřina a magnetismus,"Halliday, David",odborná,fyzika,inventář,Žk701,koupená,ne,ne
563,Fyzika – Elektromagnetické vlny,"Halliday, David",odborná,fyzika,inventář,Žk702,koupená,ne,ne
564,Fyzika – Moderní fyzika,"Halliday, David",odborná,fyzika,inventář,Žk703,koupená,ne,ne
616,Mezi chaosem a řádem,"Conevey, Peter",odborná,fyzika,inventář,Žk759,koupená,ne,ne
623,Jak vesmír přišel ke svým skvrnám,"Levinová, Janne",odborná,fyzika,inventář,Žk766,koupená,ne,ne
633,Neobyčejná teorie světla a látky,,odborná,fyzika,inventář,Žk776,koupená,ne,ne
638,Povaha prostoru a času,"Hawking, Stephen",odborná,fyzika,inventář,Žk781,koupená,ne,ne
743,Nová kniha optických iluzí,,odborná,fyzika,inventář,Žk893,koupená,ne,ne
,Hádanky a hlavolamy Nikoly Tesly,"Galland, Richard",odborná,fyzika,spotřeba,Žk19/1,koupená,ne,ne
LEŽÍ,,,,,,,koupená,ne,ne
510,Svět kolem nás,,odborná,fyzika,inventář,Žk645,koupená,ne,ne
511,Svět vědy a techniky,,odborná,fyzika,inventář,Žk646,koupená,ne,ne
642,Astronomie – 100+1 záludných otázek,,odborná,fyzika,inventář,Žk785,koupená,ne,ne
643,Vesmír,,odborná,fyzika,inventář,Žk786,koupená,ne,ne
939,Vesmír (Encyklopedie školáka),,odborná,fyzika,KPGO,KP99/19,koupená,ne,ne
,Fyzika 1,"Halliday, D. a kol.",odborná,fyzika,inventář,ŽkqI17,koupená,ne,ne
,Fyzika 2,"Halliday, D. a kol.",odborná,fyzika,inventář,žkqI18,koupená,ne,ne
230,Svět starého Řecka,,odborná,historie - svět,inventář,Žk331,koupená,ne,ne
318,Svět islámu,,odborná,historie - svět,inventář,Žk 434,koupená,ne,ne
354,Svět středověké Evropy,,odborná,historie - svět,inventář,Žk474,koupená,ne,ne
355,Svět starého Egypta,,odborná,historie - svět,inventář,Žk476,koupená,ne,ne
389,Svět Číny,,odborná,historie - svět,inventář,Žk512,koupená,ne,ne
407,Svět předkolumbovské Ameriky,,odborná,historie - svět,inventář,Žk533,koupená,ne,ne
408,Svět Japonska,,odborná,historie - svět,inventář,Žk534,koupená,ne,ne
411,Svět Španělska a Portugalska,,odborná,historie - svět,inventář,Žk541,koupená,ne,ne
412,Svět Vikingů,,odborná,historie - svět,inventář,Žk542,koupená,ne,ne
413,Svět Francie,,odborná,historie - svět,inventář,Žk543,koupená,ne,ne
414,Svět Mezopotámie,,odborná,historie - svět,inventář,Žk544,koupená,ne,ne
426,Svět Indie,,odborná,historie - svět,inventář,Žk556,koupená,ne,ne
73,Dějiny Anglie,"Maurois, Andre",odborná,historie,inventář,Žk134,koupená,ne,ne
92,Když slunce bylo bohem,"Kosidowski, Zenon",odborná,historie,inventář,Žk158,koupená,ne,ne
96,Bohové a hrdinové antických bájí,"Zamarovský, Vojtěch",odborná,historie,inventář,Žk162,koupená,ne,ne
97,Pád Rudolfa II.,"Janáček, Josef",odborná,historie,inventář,Žk163,koupená,ne,ne
98,Jan Nepomucký,"Vlnas, Vít",odborná,historie,inventář,Žk164,koupená,ne,ne
106,Zlatý věk lidstva,"Brentjes, Burchard",odborná,historie,inventář,Žk173,koupená,ne,ne
107,Slavné bitvy naší historie,"Čornej, Petr",odborná,historie,inventář,Žk174,koupená,ne,ne
108,Dějiny USA,,odborná,historie,inventář,Žk175,koupená,ne,ne
111,Úsvit civilizací,,odborná,Historie Larousse,inventář,Žk179,koupená,ne,ne
145,Staré civilizace,,odborná,Historie,inventář,Žk225,koupená,ne,ne
146,Dějiny římské říše,,,Larousse,,,koupená,ne,ne
147,Egypt a starověké Řecko,,odborná,Historie,inventář,Žk226,koupená,ne,ne
148,Od velkého třesku k člověku,,,Larousse,,,koupená,ne,ne
149,Dobývání nových světů,,odborná,Historie,inventář,Žk227,koupená,ne,ne
150,Ve stínu středověkých hradů,,,Larousse,,,koupená,ne,ne
117,Dějiny Francie,,odborná,Historie Larousse,inventář,Žk228,koupená,ne,ne
129,Kapitoly z dějin mezinárodních vztahů,,odborná,Historie,inventář,Žk229,koupená,ne,ne
132,Rok – tradice a svátky,,,Larousse,,,koupená,ne,ne
133,"Gándhí, síla pravdy",,odborná,Historie,inventář,Žk230,koupená,ne,ne
139,Toulky českou minulostí 3,,,Larousse,,,koupená,ne,ne
141,Toulky českou minulostí 1,"Maurois, Andre",odborná,historie,inventář,Žk187,koupená,ne,ne
315,Toulky českou minulostí 2,"Skřivan, Aleš",odborná,historie,inventář,Žk203,koupená,ne,ne
316,Toulky českou minulostí 4,"Pennick, Nigel",odborná,historie,inventář,Žk206,koupená,ne,ne
317,Toulky českou minulostí 5,"Clementová, Catherine",odborná,historie,inventář,Žk208,koupená,ne,ne
436,Toulky českou minulostí 6,,odborná,historie,inventář,Žk217,koupená,ne,ne
437,Toulky českou minulostí 7,,odborná,historie,inventář,Žk219,koupená,ne,ne
215,Československá zahraniční politika,,odborná,historie,inventář,Žk431,koupená,ne,ne
216,Kapitoly z dějin evropské politiky od roku 1648,,odborná,historie,inventář,Žk432,koupená,ne,ne
203,"Bohové, hroby, učenci",,odborná,historie,inventář,Žk433,koupená,ne,ne
234,Osobnosti českých dějin,,odborná,historie,inventář,Žk566,koupená,ne,ne
262,Dějiny Prahy v datech,,odborná,historie,inventář,Žk567,koupená,ne,ne
271,Vyšehradský hřbitov,,odborná,historie,inventář,Žk315,koupená,ne,ne
278,Války a válečníci,,odborná,historie,inventář,Žk316,koupená,ne,ne
353,Habsburkové,"Ceram, C. V.",odborná,historie,inventář,Žk299,koupená,ne,ne
367,Křižáci v orientu,,odborná,historie,inventář,Žk337,koupená,ne,ne
375,Kdo byl kdo v našich dějinách od roku 1918,,odborná,historie,inventář,Žk369,koupená,ne,ne
401,Kdo byl kdo? Slavní vojevůdci,,odborná,historie,inventář,Žk386,koupená,ne,ne
584,Kdo byl kdo v našich dějinách 20. století A-M,,odborná,historie,inventář,Žk394,koupená,ne,ne
585,Kdo byl kdo v našich dějinách 20. století N-Ž,,odborná,historie,inventář,Žk473,koupená,ne,ne
709,Kdo byl kdo v naší kulturní politice 1948-1953,,odborná,historie,inventář,Žk488,koupená,ne,ne
378,Encyklopedie českých zámků,,odborná,historie,inventář,Žk496,koupená,ne,ne
379,Encyklopedie českých hradů,,odborná,historie,inventář,Žk524,koupená,ne,ne
396,Klášter sv. Anežky české,,odborná,historie,inventář,Žk726,koupená,ne,ne
399,Královny a kněžny české,,odborná,historie,inventář,Žk727,koupená,ne,ne
400,Průvodce evropským myšlením-osudy moudrých,,odborná,historie,inventář,Žk858,koupená,ne,ne
406,Rudolf II. a jeho svět,,odborná,historie,inventář,Žk499,koupená,ne,ne
431,Židovská Praha,,odborná,historie,inventář,Žk500,koupená,ne,ne
432,Židé – dějiny a kultura,,odborná,historie,inventář,Žk519,koupená,ne,ne
433,Vademecum pomocných věd historických,,odborná,historie,inventář,Žk522,koupená,ne,ne
439,Velká kniha evropských panovníků,,odborná,historie,inventář,Žk523,koupená,ne,ne
448,Encyklopedie zbraní a zbroje,,odborná,historie,inventář,Žk532,koupená,ne,ne
499,Encyklopedie heraldiky,,odborná,historie,inventář,Žk561,koupená,ne,ne
459,Starověké stavby včera a dnes,,odborná,historie,inventář,Žk562,koupená,ne,ne
503,Slovník českých dějin,,odborná,historie,inventář,Žk563,koupená,ne,ne
512,"Josef II., revolucionář z boží milosti",,odborná,historie,inventář,Žk569,koupená,ne,ne
513,"Ludvík XIV., král Slunce, velký panovník z rodu Bourbonů",,odborná,historie,inventář,Žk578,koupená,ne,ne
516,Duchovní prameny života,,odborná,historie,inventář,Žk579,koupená,ne,ne
517,"Na hradech, v klášterech v podhradí",,odborná,historie,inventář,Žk591,koupená,ne,ne
521,Dějiny Japonska,,odborná,historie,inventář,Žk636,koupená,ne,ne
553,Velká kniha o Praze,,odborná,historie,inventář,Žk648,koupená,ne,ne
610,Salón dvou století,,odborná,historie,inventář,Žk649,koupená,ne,ne
630,"Marie Terezie, Korunovace na …",,odborná,historie,inventář,Žk652,koupená,ne,ne
631,Bitva u Zborova,,odborná,historie,inventář,Žk653,koupená,ne,ne
634,Rozkoš a láska,,odborná,historie,inventář,Žk657,koupená,ne,ne
635,Ženy v dějinách lidstva,,odborná,historie,inventář,Žk692,koupená,ne,ne
636,Evropa po roce 1945,"Sak, Robert",odborná,historie,inventář,Žk752,koupená,ne,ne
665,"Galerie géniů – 222 osobností, které změnily svět","Maur, Eduard",odborná,historie,inventář,Žk773,koupená,ne,ne
689,Pražské domy vyprávějí 1,"Galandauer, Jan",odborná,historie,inventář,Žk774,koupená,ne,ne
690,Pražské domy vyprávějí 6,,odborná,historie,inventář,Žk777,koupená,ne,ne
691,Pražské domy vyprávějí 2,,odborná,historie,inventář,Žk778,koupená,ne,ne
692,Pražské domy vyprávějí,,odborná,historie,inventář,Žk779,koupená,ne,ne
693,Pražské domy vyprávějí,,odborná,historie,inventář,Žk809,koupená,ne,ne
705,Kronika Nobelových cen,"Hrubešovi, Eva a Josef",odborná,historie,inventář,Žk837,koupená,ne,ne
733,Pompeje – Poslední den,"Hrubešovi, Eva a Josef",odborná,historie,inventář,Žk838,koupená,ne,ne
734,Koloseum – Římská aréna smrti,"Hrubešovi, Eva a Josef",odborná,historie,inventář,Žk839,koupená,ne,ne
841,Praha babka měst,"Hrubešovi, Eva a Josef",odborná,historie,inventář,Žk840,koupená,ne,ne
875,Osmanská říše 15.-18. st.,"Hrubešovi, Eva a Josef",odborná,historie,inventář,Žk841,koupená,ne,ne
876,"Dějiny odívání, doba turnýry a secese",,odborná,historie,inventář,Žk854,koupená,ne,ne
886,"Kulturní, duchovní a etnické kořeny Ruska",,odborná,historie,inventář,Žk883,koupená,ne,ne
888,Poprava Záviše Kalandry,,odborná,historie,inventář,Žk884,koupená,ne,ne
889,Lexikon našich hospodářských dějin,"Ježková, Alena",odborná,historie,inventář,Žk994,koupená,ne,ne
890,Řád templářů,,odborná,historie,inventář,Žk1028,koupená,ne,ne
893,Labyrintem středověku,,odborná,historie,inventář,Žk1029,koupená,ne,ne
898,Prsten paměti – Pět procházek Prahou,,odborná,historie,inventář,Žk1039,koupená,ne,ne
899,Prsten paměti – Pět procházek Prahou,"Bouček, Jaroslav",odborná,historie,inventář,Žk1041,koupená,ne,ne
901,Ilustrovaná encyklopedie odívání,,odborná,historie,inventář,Žk1042,koupená,ne,ne
906,Pražská heraldika,,odborná,historie,inventář,Žk1043,koupená,ne,ne
911,Mnichov 1938,,odborná,historie,inventář,Žk104,koupená,ne,ne
915,Válka o Irák očima tří reportérů,"Stejskalová, Anna",odborná,historie,inventář,Žk1051,koupená,ne,ne
922,Encyklopedie starověkého Předního východu,"Stejskalová, Anna",odborná,historie,inventář,Žk1052,koupená,ne,ne
933,Encyklopedie českých klášterů,,odborná,historie,inventář,ŽKQI1,koupená,ne,ne
940,Starověké civilizace (Encyklopedie školáka),"Hrdlička, Jan",odborná,historie,dar,,koupená,ne,ne
1004,Alexander Veliký a jeho elitní pěchota,"Filípek, Jan",odborná,historie,dar,,koupená,ne,ne
1005,Encyklopedie moderní historie,"Kubal, Michal a kol.",odborná,historie,dar,,koupená,ne,ne
1006,Frankové a Evropa,,odborná,historie,dar,,koupená,ne,ne
1217,Estébáckou Prahou,"Vlček, Pavel",odborná,historie,KPGO,KP99/11,koupená,ne,ne
1219,Průvodce protektorátní Prahou,,odborná,historie,KPGO,KP99/20,koupená,ne,ne
1220,Skrytá sláva Indie,,odborná,historie,spotřeba,Žk09/31,koupená,ne,ne
1221,Území cizího žalu (Lidie),,odborná,historie,spotřeba,Žk09/32,koupená,ne,ne
1222,"Den, kdy udeřilo zlo (Lidice)","Bednaříková, Jarmila",odborná,historie,spotřeba,Žk09/33,koupená,ne,ne
1223,Lidice očima pamětníků a autorů,,odborná,historie,spotřeba,Žk13/66,koupená,ne,ne
1224,"Ahoj, sochy (Lidice)",,odborná,historie,inventář,ŽKQI6,koupená,ne,ne
1225,Přemožitelé času,"Rosen, Steven J.",odborná,historie,dar,,koupená,ne,ne
,Sto let českých Vánoc,"Štolbová, Eva",odborná,historie,dar,,koupená,ne,ne
LEŽÍ,,"Cílek, Roman",odborná,historie,dar,,koupená,ne,ne
128,Kronika dějin 20. století,"Cílek, R., Čermák, F.",odborná,historie,dar,,koupená,ne,ne
135,Americká občanská válka,"Strusková, Olga",odborná,historie,dar,,koupená,ne,ne
228,Dějiny světa v obrazech,,odborná,historie,KPGO,KP99/36,koupená,ne,ne
229,Dějiny Evropy,"Kourovi, Petr a Pavlína",odborná,historie,spotřeba,Žk18/22,koupená,ne,ne
270,Křížové výpravy na východ,,,,,,koupená,ne,ne
272,Lidé v pravěku,,odborná,historie,inventář,Žk202,koupená,ne,ne
273,Gladiátoři,,odborná,historie,inventář,Žk213,koupená,ne,ne
274,Rytíři,,odborná,historie,inventář,Žk329,koupená,ne,ne
275,Sláva barbarů,,odborná,historie,inventář,Žk330,koupená,ne,ne
279,Mumie,,odborná,historie,inventář,Žk385,koupená,ne,ne
320,"Lidé, kteří změnili svět",,odborná,historie,inventář,Žk387,koupená,ne,ne
359,Starověký Řím,,odborná,historie,inventář,Žk388,koupená,ne,ne
360,Cesty do neznáma,,odborná,historie,inventář,Žk389,koupená,ne,ne
395,"Věk starý a nový, Evropa 17. a 18. století",,odborná,historie,inventář,Žk390,koupená,ne,ne
398,Atlas záhadných míst,,odborná,historie,inventář,Žk395,koupená,ne,ne
460,Dějiny lidstva,,odborná,historie,inventář,Žk436,koupená,ne,ne
552,Historie světa,,odborná,historie,inventář,Žk480,koupená,ne,ne
836,Archeologický atlas,,odborná,historie,inventář,Žk481,koupená,ne,ne
912,Atentát (Poerace Anthropoid 1941-1942),,odborná,historie,inventář,Žk518,koupená,ne,ne
916,234 českých osobností,,odborná,historie,inventář,Žk521,koupená,ne,ne
918,Piráti,,odborná,historie,inventář,Žk592,koupená,ne,ne
919,Piráti,,odborná,historie,inventář,Žk691,koupená,ne,ne
940,Starověké civilizace (Encyklopedie školáka),,odborná,historie,inventář,Žk989,koupená,ne,ne
941,Slavní mořeplavci,,odborná,historie,dar,,koupená,ne,ne
942,Průkopníci vědy a techniky v českých…,"Čornej, Petr",odborná,historie,dar,,koupená,ne,ne
981,Lidové tradice,,odborná,historie,dar,,koupená,ne,ne
913,Velký atlas světových dějin,,odborná,historie,dar,,koupená,ne,ne
,Encyklopedie šlechtických rodů,,odborná,historie,KPGO,KP99/20,koupená,ne,ne
618,Chemie – sbírka příkladů pro SŠ,"Křivský, Petr",odborná,historie,KPGO,KP99/21,koupená,ne,ne
619,Chemie – sbírka příkladů pro SŠ,"Kvítek, Martin",odborná,historie,KPGO,KP99/22,koupená,ne,ne
620,Chemie pro čtyřletá gymnázia 1,Šottnerová Dagmar,odborná,historie,spotřeba,Žk09/7,koupená,ne,ne
621,Chemie pro gymnázia 2,,odborná,historie,dar,,koupená,ne,ne
627,Chemie pro čtyřletá gymnázia 3,"Juřík, Pavel",odborná,historie,spotřeba,Žk22/24,koupená,ne,ne
639,Cvičení k chemii v kostce pro SŠ,,odborná,chemie,inventář,Žk761,koupená,ne,ne
640,Cvičení k chemii v kostce pro SŠ,,odborná,chemie,inventář,Žk762,koupená,ne,ne
127,"Rady Čechům, jak se hravě přiučit češtině",,odborná,chemie,inventář,Žk763,koupená,ne,ne
219,Ilustrovaná encyklopedie I. - III.,,odborná,chemie,inventář,Žk764,koupená,ne,ne
224,Akademický slovník cizích slov I. A-K,,odborná,chemie,inventář,Žk770,koupená,ne,ne
225,Akademický slovník cizích slov II. L-Z,,odborná,chemie,inventář,Žk782,koupená,ne,ne
257,Slovník cizích slov,,odborná,chemie,inventář,Žk783,koupená,ne,ne
995,Slovník cizích slov,"Eisner, Pavel",odborná,jazyk,inventář,Žk200,koupená,ne,ne
304,Čeština poklepem a poslechem,,odborná,jazyk,inventář,Žk319,koupená,ne,ne
309,Čteme je správně?,,odborná,jazyk,inventář,Žk325,koupená,ne,ne
312,Čeština – řeč a jazyk,,odborná,jazyk,inventář,Žk326,koupená,ne,ne
490,Slovník spisovné češtiny,,odborná,jazyk,inventář,Žk362,koupená,ne,ne
491,Slovník spisovné češtiny,,odborná,jazyk,spotřeba,Žk09/22,koupená,ne,ne
226,Slovník spisovné češtiny,"Eisner, Pavel",odborná,jazyk,inventář,Žk420,koupená,ne,ne
492,Slovník spisovné češtiny,,odborná,jazyk,inventář,Žk425,koupená,ne,ne
493,Slovník spisovné češtiny,"Čechová, Marie",odborná,jazyk,inventář,Žk428,koupená,ne,ne
494,Slovník spisovné češtiny,,odborná,jazyk,inventář,Žk623,koupená,ne,ne
495,Slovník spisovné češtiny,,odborná,jazyk,inventář,Žk624,koupená,ne,ne
588,Po kom se jmenujeme,,odborná,jazyk,inventář,Žk327,koupená,ne,ne
694,Český jazyk v kostce,,odborná,jazyk,inventář,Žk625,koupená,ne,ne
695,Český jazyk v kostce,,odborná,jazyk,inventář,Žk626,koupená,ne,ne
839,Atlas jazyků světa,,odborná,jazyk,inventář,Žk627,koupená,ne,ne
845,"Český jazyk, přehled učiva",,odborná,jazyk,inventář,Žk628,koupená,ne,ne
858,Slovník nespisovné češtiny,,odborná,jazyk,inventář,Žk730,koupená,ne,ne
859,Slovník nespisovné češtiny,"Sochrová, Marie",odborná,jazyk,inventář,Žk842,koupená,ne,ne
767,Slovník nespisovné češtiny,"Sochrová, Marie",odborná,jazyk,inventář,Žk843,koupená,ne,ne
874,Jak se to řekne jinde,,odborná,jazyk,inventář,Žk992,koupená,ne,ne
885,Naše příjmení,,odborná,jazyk,inventář,Žk998,koupená,ne,ne
959,O češtině,,odborná,jazyk,inventář,Žk1011,koupená,ne,ne
976,Testové úlohy nejen pro deváťáky,,odborná,jazyk,inventář,Žk1012,koupená,ne,ne
1096,Slovník českých synonym a antonym,,odborná,jazyk,inventář,Žk918,koupená,ne,ne
1094,Slovník české frazeologie a idiomatiky 1-4,,odborná,jazyk,inventář,Žk1027,koupená,ne,ne
1303,Šmírbuch jazyka českého,,odborná,jazyk,inventář,Žk1038,koupená,ne,ne
1305,Čeština nově od A do Ž,,odborná,jazyk,spotřeba,Žk08/1,koupená,ne,ne
,Hacknutá čeština,,odborná,jazyk,spotřeba,Žk09/2,koupená,ne,ne
452,Encyklopedie praktické žurnalistiky,,odborná,jazyk,spotřeba,Žk10/79,koupená,ne,ne
797,Slovník mediální komunikace,,odborná,jazyk,spotřeba,ŽKQI7,koupená,ne,ne
798,Rétorika,"Ouředník, Patrik",odborná,jazyk,spotřeba,Žk16/6,koupená,ne,ne
803,Jak číst a psát odborný text,"Pravdová, Markéta",odborná,jazyk,spotřeba,Žk16/8,koupená,ne,ne
977,Jak být in v písemném projevu,"Kavka, M., Škrabal, M.",odborná,jazyk,spotřeba,Žk18/54,koupená,ne,ne
1173,Tvůrčí psaní,,odborná,jazyk-sloh,inventář,Žk582,koupená,ne,ne
113,Kronika techniky,,odborná,jazyk-sloh,inventář,Žk949,koupená,ne,ne
114,Kronika lidstva,,odborná,jazyk-sloh,inventář,Žk950,koupená,ne,ne
183,Kronika medicíny,,odborná,jazyk-sloh,inventář,Žk955,koupená,ne,ne
248,Kronika Země,"Polívková, Alena",odborná,jazyk-sloh,spotřeba,Žk09/3,koupená,ne,ne
289,Kronika filmu,"Hošková, Kateřina",odborná,jazyk-sloh,spotřeba,Žk13/22,koupená,ne,ne
290,Kronika OH 1896-199,,odborná,kronika,inventář,Žk183,koupená,ne,ne
101,Zakopaný pes,,odborná,kronika,inventář,Žk184,koupená,ne,ne
170,Slovník českého románu,,odborná,kronika,inventář,Žk272,koupená,ne,ne
227,Slovník českých spisovatelů od roku 1945 A-L,,odborná,kronika,inventář,Žk351,koupená,ne,ne
373,Slovník anglicky psané literatury,,odborná,kronika,inventář,Žk405,koupená,ne,ne
374,Slovník spisovatelů Latinské Ameriky,,odborná,kronika,inventář,Žk406,koupená,ne,ne
430,Slovník spisovatelů Španělska a Portugalska,"Fučík, Bedřich",odborná,literatura,inventář,Žk167,koupená,ne,ne
447,Slovník slovenských spisovatelů,,odborná,literatura,inventář,Žk258,koupená,ne,ne
451,Slovník slovenských spisovatelov,,odborná,literatura,inventář,Žk328,koupená,ne,ne
570,"Slovník ruských, ukrajinských a běloruských spisovatelů",,odborná,literatura,inventář,Žk494,koupená,ne,ne
589,Slovník českých spisovatelů,,odborná,literatura,inventář,Žk495,koupená,ne,ne
590,Slovník francouzsky píšících spisovatelů,,odborná,literatura,inventář,Žk560,koupená,ne,ne
712,Slovník českých spisovatelů,,odborná,literatura,inventář,Žk577,koupená,ne,ne
292,Slovník české literární fantastiky a sci-fi,,odborná,literatura,inventář,Žk581,koupená,ne,ne
297,Jisrření,,odborná,literatura,inventář,Žk710,koupená,ne,ne
310,Pražská německá literatura,,odborná,literatura,inventář,Žk731,koupená,ne,ne
311,Encyklopedie literatury sci-fi,,odborná,literatura,inventář,Žk732,koupená,ne,ne
313,Kdo je kdo? Obec spisovatelů,,odborná,literatura,inventář,Žk861,koupená,ne,ne
383,Velký slovník citátů a přísloví,,odborná,literatura,inventář,Žk408,koupená,ne,ne
394,Panorama ruské literatury,"Ivanov, Miroslav",odborná,literatura,inventář,Žk413,koupená,ne,ne
403,Poetický slovník,,odborná,literatura,inventář,Žk426,koupená,ne,ne
435,"Slovník českých spisovatelů od r. 1945, díl 2, M-Ž",,odborná,literatura,inventář,Žk427,koupená,ne,ne
450,Světová literatura 20. století v kostce,,odborná,literatura,inventář,Žk429,koupená,ne,ne
526,Encyklopedie antické mytologie,,odborná,literatura,inventář,Žk504,koupená,ne,ne
558,Básnická sémantika,,odborná,literatura,inventář,Žk517,koupená,ne,ne
559,Katalog knih českého exilu 1948 - 1994,,odborná,literatura,inventář,Žk526,koupená,ne,ne
568,Encyklopedie slovanských bohů a mýtů,,odborná,literatura,inventář,Žk565,koupená,ne,ne
578,Literáti,,odborná,literatura,inventář,Žk580,koupená,ne,ne
587,Malá encyklopedie Vánoc,,odborná,literatura,inventář,Žk663,koupená,ne,ne
646,"Ilustrovaná kniha mýtů, pohádek a příběhů","Mukařovský, Jan",odborná,literatura,inventář,Žk697,koupená,ne,ne
675,Školní slovník českých spisovatelů,,odborná,literatura,inventář,Žk698,koupená,ne,ne
