kod knihy,Nazev,Autor,Kategorie,Obor/zanr,Umisteni,Signatura,Způsob ziskani,mautritni,pujcena
616,Mezi chaosem a radem,"Conevey, Peter",odborna,fyzika,inventar,Zk759,koupena,no,no
623,Jak vesmir prisel ke svym skvrnam,"Levinova, Janne",odborna,fyzika,inventar,Zk766,koupena,no,no
633,Neobycejna teorie svetla a latky,,odborna,fyzika,inventar,Zk776,koupena,no,no
638,Povaha prostoru a casu,"Hawking, Stephen",odborna,fyzika,inventar,Zk781,koupena,no,no
743,Nova kniha optickych iluzi,,odborna,fyzika,inventar,Zk893,koupena,no,no
,Hadanky a hlavolamy Nikoly Tesly,"Galland, Richard",odborna,fyzika,spotreba,Zk19/1,koupena,no,no
,,,,,,,koupena,no,no
510,Svet kolem nas,,odborna,fyzika,inventar,Zk645,koupena,no,no
511,Svet vedy a techniky,,odborna,fyzika,inventar,Zk646,koupena,no,no
642,Astronomie – 100+1 zaludnych otazek,,odborna,fyzika,inventar,Zk785,koupena,no,no
643,Vesmir,,odborna,fyzika,inventar,Zk786,koupena,no,no
939,Vesmir (Encyklopedie skolaka),,odborna,fyzika,KPGO,KP99/19,koupena,no,no
,Fyzika 1,"Halliday, D. a kol.",odborna,fyzika,inventar,ZkqI17,koupena,no,no
,Fyzika 2,"Halliday, D. a kol.",odborna,fyzika,inventar,zkqI18,koupena,no,no
230,Svet stareho Recka,,odborna,historie - svet,inventar,Zk331,koupena,no,no
318,Svet islamu,,odborna,historie - svet,inventar,Zk 434,koupena,no,no
354,Svet stredoveke Evropy,,odborna,historie - svet,inventar,Zk474,koupena,no,no
355,Svet stareho Egypta,,odborna,historie - svet,inventar,Zk476,koupena,no,no
389,Svet Ciny,,odborna,historie - svet,inventar,Zk512,koupena,no,no
407,Svet predkolumbovske Ameriky,,odborna,historie - svet,inventar,Zk533,koupena,no,no
408,Svet Japonska,,odborna,historie - svet,inventar,Zk534,koupena,no,no
411,Svet Spanelska a Portugalska,,odborna,historie - svet,inventar,Zk541,koupena,no,no
412,Svet Vikingů,,odborna,historie - svet,inventar,Zk542,koupena,no,no
413,Svet Francie,,odborna,historie - svet,inventar,Zk543,koupena,no,no
414,Svet Mezopotamie,,odborna,historie - svet,inventar,Zk544,koupena,no,no
426,Svet Indie,,odborna,historie - svet,inventar,Zk556,koupena,no,no
73,Dejiny Anglie,"Maurois, Andre",odborna,historie,inventar,Zk134,koupena,no,no
92,Kdyz slunce bylo bohem,"Kosidowski, Zenon",odborna,historie,inventar,Zk158,koupena,no,no
96,Bohove a hrdinove antickych baji,"Zamarovsky, Vojtech",odborna,historie,inventar,Zk162,koupena,no,no
97,Pad Rudolfa II.,"Janacek, Josef",odborna,historie,inventar,Zk163,koupena,no,no
98,Jan Nepomucky,"Vlnas, Vit",odborna,historie,inventar,Zk164,koupena,no,no
106,Zlaty vek lidstva,"Brentjes, Burchard",odborna,historie,inventar,Zk173,koupena,no,no
107,Slavne bitvy nasi historie,"Cornej, Petr",odborna,historie,inventar,Zk174,koupena,no,no
108,Dejiny USA,,odborna,historie,inventar,Zk175,koupena,no,no
111,Úsvit civilizaci,,odborna,Historie Larousse,inventar,Zk179,koupena,no,no
145,Stare civilizace,,odborna,Historie,inventar,Zk225,koupena,no,no
146,Dejiny rimske rise,,,Larousse,,,koupena,no,no
147,Egypt a staroveke Recko,,odborna,Historie,inventar,Zk226,koupena,no,no
148,Od velkeho tresku k cloveku,,,Larousse,,,koupena,no,no
149,Dobyvani novych svetů,,odborna,Historie,inventar,Zk227,koupena,no,no
150,Ve stinu stredovekych hradů,,,Larousse,,,koupena,no,no
117,Dejiny Francie,,odborna,Historie Larousse,inventar,Zk228,koupena,no,no
129,Kapitoly z dejin mezinarodnich vztahů,,odborna,Historie,inventar,Zk229,koupena,no,no
132,Rok – tradice a svatky,,,Larousse,,,koupena,no,no
133,"Gandhi, sila pravdy",,odborna,Historie,inventar,Zk230,koupena,no,no
139,Toulky ceskou minulosti 3,,,Larousse,,,koupena,no,no
141,Toulky ceskou minulosti 1,"Maurois, Andre",odborna,historie,inventar,Zk187,koupena,no,no
315,Toulky ceskou minulosti 2,"Skrivan, Ales",odborna,historie,inventar,Zk203,koupena,no,no
316,Toulky ceskou minulosti 4,"Pennick, Nigel",odborna,historie,inventar,Zk206,koupena,no,no
317,Toulky ceskou minulosti 5,"Clementova, Catherine",odborna,historie,inventar,Zk208,koupena,no,no
436,Toulky ceskou minulosti 6,,odborna,historie,inventar,Zk217,koupena,no,no
437,Toulky ceskou minulosti 7,,odborna,historie,inventar,Zk219,koupena,no,no
215,Ceskoslovenska zahranicni politika,,odborna,historie,inventar,Zk431,koupena,no,no
216,Kapitoly z dejin evropske politiky od roku 1648,,odborna,historie,inventar,Zk432,koupena,no,no
203,"Bohove, hroby, ucenci",,odborna,historie,inventar,Zk433,koupena,no,no
234,Osobnosti ceskych dejin,,odborna,historie,inventar,Zk566,koupena,no,no
262,Dejiny Prahy v datech,,odborna,historie,inventar,Zk567,koupena,no,no
271,Vysehradsky hrbitov,,odborna,historie,inventar,Zk315,koupena,no,no
278,Valky a valecnici,,odborna,historie,inventar,Zk316,koupena,no,no
353,Habsburkove,"Ceram, C. V.",odborna,historie,inventar,Zk299,koupena,no,no
367,Krizaci v orientu,,odborna,historie,inventar,Zk337,koupena,no,no
375,Kdo byl kdo v nasich dejinach od roku 1918,,odborna,historie,inventar,Zk369,koupena,no,no
401,Kdo byl kdo? Slavni vojevůdci,,odborna,historie,inventar,Zk386,koupena,no,no
584,Kdo byl kdo v nasich dejinach 20. stoleti A-M,,odborna,historie,inventar,Zk394,koupena,no,no
585,Kdo byl kdo v nasich dejinach 20. stoleti N-Z,,odborna,historie,inventar,Zk473,koupena,no,no
709,Kdo byl kdo v nasi kulturni politice 1948-1953,,odborna,historie,inventar,Zk488,koupena,no,no
378,Encyklopedie ceskych zamků,,odborna,historie,inventar,Zk496,koupena,no,no
379,Encyklopedie ceskych hradů,,odborna,historie,inventar,Zk524,koupena,no,no
396,Klaster sv. Anezky ceske,,odborna,historie,inventar,Zk726,koupena,no,no
399,Kralovny a knezny ceske,,odborna,historie,inventar,Zk727,koupena,no,no
400,Průvodce evropskym myslenim-osudy moudrych,,odborna,historie,inventar,Zk858,koupena,no,no
406,Rudolf II. a jeho svet,,odborna,historie,inventar,Zk499,koupena,no,no
431,Zidovska Praha,,odborna,historie,inventar,Zk500,koupena,no,no
432,Zide – dejiny a kultura,,odborna,historie,inventar,Zk519,koupena,no,no
433,Vademecum pomocnych ved historickych,,odborna,historie,inventar,Zk522,koupena,no,no
439,Velka kniha evropskych panovniků,,odborna,historie,inventar,Zk523,koupena,no,no
448,Encyklopedie zbrani a zbroje,,odborna,historie,inventar,Zk532,koupena,no,no
499,Encyklopedie heraldiky,,odborna,historie,inventar,Zk561,koupena,no,no
459,Staroveke stavby vcera a dnes,,odborna,historie,inventar,Zk562,koupena,no,no
503,Slovnik ceskych dejin,,odborna,historie,inventar,Zk563,koupena,no,no
512,"Josef II., revolucionar z bozi milosti",,odborna,historie,inventar,Zk569,koupena,no,no
513,"Ludvik XIV., kral Slunce, velky panovnik z rodu Bourbonů",,odborna,historie,inventar,Zk578,koupena,no,no
516,Duchovni prameny zivota,,odborna,historie,inventar,Zk579,koupena,no,no
517,"Na hradech, v klasterech v podhradi",,odborna,historie,inventar,Zk591,koupena,no,no
521,Dejiny Japonska,,odborna,historie,inventar,Zk636,koupena,no,no
553,Velka kniha o Praze,,odborna,historie,inventar,Zk648,koupena,no,no
610,Salón dvou stoleti,,odborna,historie,inventar,Zk649,koupena,no,no
630,"Marie Terezie, Korunovace na …",,odborna,historie,inventar,Zk652,koupena,no,no
631,Bitva u Zborova,,odborna,historie,inventar,Zk653,koupena,no,no
634,Rozkos a laska,,odborna,historie,inventar,Zk657,koupena,no,no
635,Zeny v dejinach lidstva,,odborna,historie,inventar,Zk692,koupena,no,no
636,Evropa po roce 1945,"Sak, Robert",odborna,historie,inventar,Zk752,koupena,no,no
665,"Galerie geniů – 222 osobnosti, ktere zmenily svet","Maur, Eduard",odborna,historie,inventar,Zk773,koupena,no,no
689,Prazske domy vypraveji 1,"Galandauer, Jan",odborna,historie,inventar,Zk774,koupena,no,no
690,Prazske domy vypraveji 6,,odborna,historie,inventar,Zk777,koupena,no,no
691,Prazske domy vypraveji 2,,odborna,historie,inventar,Zk778,koupena,no,no
692,Prazske domy vypraveji,,odborna,historie,inventar,Zk779,koupena,no,no
693,Prazske domy vypraveji,,odborna,historie,inventar,Zk809,koupena,no,no
705,Kronika Nobelovych cen,"Hrubesovi, Eva a Josef",odborna,historie,inventar,Zk837,koupena,no,no
